"HGMS.ID","User (e.g. PR)","Dataset.ID","Chrom. Code 
(e.g. IC)","Dilution","Inj Vol. (uL)","Sample Location","Raw Data Location","Processed Data Location","Notes","Notes 2"
"HGMS_0011","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM11","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0012","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM12","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0013","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM13","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0014","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM14","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0015","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM15","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0016","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM16","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0017","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM17","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0018","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM18","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0019","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM19","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0020","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM20","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0021","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM21","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0022","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM22","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0023","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM23","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0024","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM24","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0025","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM25","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0026","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM26","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0027","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM27","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0028","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM28","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0029","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM29","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0030","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM30","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0031","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM31","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0032","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM32","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0033","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM33","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0034","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM34","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0035","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM35","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0036","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM36","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0037","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM37","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0038","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM38","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0039","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM39","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0040","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM40","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0041","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM41","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0042","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM42","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0043","PR","HGMD_0122; HGMD_0123; HGMD_0124","LC","10uM","3","Freezer shelf X","X:\MA_Instruments\LC_ORBI_QE_01\MA Gut Microbiome\2024\2024-11-29_Standards","Y:\MA_BPA_Microbiome\LCMS data\2024-11-29_Standards","SM43","C18-Standard List Comparisons_smiles.xlsx"
"HGMS_0044","PR","HGMD_0122; HGMD_0123; HGMD_0125","LC","10uM","3","Freezer shelf X",NA,NA,NA,NA
"HGMS_0045","PR","HGMD_0122; HGMD_0123; HGMD_0126","LC","10uM","3","Freezer shelf X",NA,NA,NA,NA
"HGMS_0046","PR","HGMD_0122; HGMD_0123; HGMD_0127","LC","10uM","3","Freezer shelf X",NA,NA,NA,NA
"HGMS_0047","PR","HGMD_0122; HGMD_0123; HGMD_0128","LC","10uM","3","Freezer shelf X",NA,NA,NA,NA
"HGMS_0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HGMS_0049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HGMS_0050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HGMS_0051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HGMS_0052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HGMS_0053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HGMS_0054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HGMS_0055",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HGMS_0056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HGMS_0057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HGMA.ID","User",NA,"dataset.ID","File.Location","Notes",NA,NA,NA,NA,NA
