"LookupName","ResolvedName","SMILES","CID","MolecularFormula","MonoisotopicMass"
"2-(4-(10,13-dimethyl-3-((Z)-octadec-9-enoyl)oxy-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)pentanoylamino)acetic acid","2-(4-(10,13-dimethyl-3-((Z)-octadec-9-enoyl)oxy-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta(a)phenanthren-17-yl)pentanoylamino)acetic acid","CCCCCCCCC=CCCCCCCCC(=O)OC1CCC2(C(C1)CCC3C2CCC4(C3CCC4C(C)CCC(=O)NCC(=O)O)C)C",NA,NA,NA
"Asp-C11:0","Asp-C11:0","CCCCCCCCCCC(NC(C(O)=O)CC(O)=O)=O",NA,NA,NA
"(3-carboxy-2-((E)-henicos-9-enoyl)oxypropyl)-trimethylazanium","(3-carboxy-2-((E)-henicos-9-enoyl)oxypropyl)-trimethylazanium","CCCCCCCCCCCC=CCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C",NA,NA,NA
"Trp-C15:0","Trp-C15:0","CCCCCCCCCCCCCCC(NC(C(O)=O)CC1=CNC2=C1C=CC=C2)=O",NA,NA,NA
"Ornithine-C15:0","Ornithine-C15:0","CCCCCCCCCCCCCCC(NC(CCCN)C(O)=O)=O",NA,NA,NA
"(2S)-2-(hexadecanoylamino)-4-methylsulfinylbutanoic acid","(2S)-2-(hexadecanoylamino)-4-methylsulfinylbutanoic acid","CCCCCCCCCCCCCCCC(=O)NC(CCS(=O)C)C(=O)O",NA,NA,NA
"Thr-C17:0","Thr-C17:0","CCCCCCCCCCCCCCCCC(NC(C(O)=O)C(O)C)=O",NA,NA,NA
"Phe-C17:0","Phe-C17:0","CCCCCCCCCCCCCCCCC(NC(C(O)=O)CC1=CC=CC=C1)=O",NA,NA,NA
"Ser-C17:0","Ser-C17:0","CCCCCCCCCCCCCCCCC(NC(C(O)=O)CO)=O",NA,NA,NA
"His-C18:0","His-C18:0","CCCCCCCCCCCCCCCCCC(NC(CC1=NC=CN1)C(O)=O)=O",NA,NA,NA
"N-((E)-3,6-dihydroxy-1-nitrosooctadec-4-en-2-yl)icosanamide","N-((E)-3,6-dihydroxy-1-nitrosooctadec-4-en-2-yl)icosanamide","CCCCCCCCCCCCCCCCCCCC(=O)NC(CN=O)C(C=CC(CCCCCCCCCCCC)O)O",NA,NA,NA
"Ala-C20:0","Ala-C20:0","CCCCCCCCCCCCCCCCCCCC(NC(C(O)=O)C)=O",NA,NA,NA
"Asp-C20:0","Asp-C20:0","CCCCCCCCCCCCCCCCCCCC(NC(C(O)=O)CC(O)=O)=O",NA,NA,NA
"L-DOPA-C20:0","L-DOPA-C20:0","CCCCCCCCCCCCCCCCCCCC(NC(C(O)=O)CC1=CC(O)=C(O)C=C1)=O",NA,NA,NA
"Thr-C21:0","Thr-C21:0","CCCCCCCCCCCCCCCCCCCCC(NC(C(O)=O)C(O)C)=O",NA,NA,NA
"Ala-C24:0","Ala-C24:0","CCCCCCCCCCCCCCCCCCCCCCCC(NC(C(O)=O)C)=O",NA,NA,NA
"p(MeOx1-co-PheOx1-co-MeOx1) Na+","p(MeOx1-co-PheOx1-co-MeOx1) Na+","O=C(N(C)CC[N+](CCN(CCO)C(C)=O)([Na])C(C1=CC=CC=C1)=O)C",NA,NA,NA
"N,N-dimethyl-proline-proline betaine","N,N-dimethyl-proline-proline betaine","O=C(N1C(C(O)=O)CCC1)C2CCC[N+]2(C)C",NA,NA,NA
"histamine-C19:1","histamine-C19:1","O=C(NCCC1=NC=CN1)CCCCCCCCC=CCCCCCCCC",NA,NA,NA
"histamine-C22:3","histamine-C22:3","O=C(NCCC1=NC=CN1)CCCCCCCCCCCC=CCC=CCC=CCC",NA,NA,NA
"GABA-C14:1","GABA-C14:1","O=C(NCCCC(O)=O)CCCCCCCC=CCCCC",NA,NA,NA
"GABA-C19:2","GABA-C19:2","O=C(NCCCC(O)=O)CCCCCCCCC=CCC=CCCCCC",NA,NA,NA
"GABA-C17:1","GABA-C17:1","O=C(NCCCC(O)=O)CCCCCCCCC=CCCCCCC",NA,NA,NA
"amyl amine-C20:5","amyl amine-C20:5","O=C(NCCCCC)CCCC=CCC=CCC=CCC=CCC=CCC",NA,NA,NA
"amylamine-C18:3","amylamine-C18:3","O=C(NCCCCC)CCCCC=CCC=CCC=CCCCCC",NA,NA,NA
"amylamine-C22:4","amylamine-C22:4","O=C(NCCCCC)CCCCCC=CCC=CCC=CCC=CCCCCC",NA,NA,NA
"amylamine-C20:3","amylamine-C20:3","O=C(NCCCCC)CCCCCCC=CCC=CCC=CCCCCC",NA,NA,NA
"amylamine-C14:1","amylamine-C14:1","O=C(NCCCCC)CCCCCCCC=CCCCC",NA,NA,NA
"amylamine-C16:1","amylamine-C16:1","O=C(NCCCCC)CCCCCCCC=CCCCCCC",NA,NA,NA
"amylamine-C11:1","amylamine-C11:1","O=C(NCCCCC)CCCCCCCCC=C",NA,NA,NA
"amylamine-C19:2","amylamine-C19:2","O=C(NCCCCC)CCCCCCCCC=CCC=CCCCCC",NA,NA,NA
"amyl amine-C15:1","amyl amine-C15:1","O=C(NCCCCC)CCCCCCCCC=CCCCC",NA,NA,NA
"amyl amine-C12:1","amyl amine-C12:1","O=C(NCCCCC)CCCCCCCCCC=C",NA,NA,NA
"amyl amine-C20:2","amyl amine-C20:2","O=C(NCCCCC)CCCCCCCCCC=CCC=CCCCCC",NA,NA,NA
"amyl amine-C13:1","amyl amine-C13:1","O=C(NCCCCC)CCCCCCCCCCC=C",NA,NA,NA
"putrescine-C20:5","putrescine-C20:5","O=C(NCCCCN)CCCC=CCC=CCC=CCC=CCC=CCC",NA,NA,NA
"putrescine-C18:3","putrescine-C18:3","O=C(NCCCCN)CCCCC=CCC=CCC=CCCCCC",NA,NA,NA
"putrescine-C20:3","putrescine-C20:3","O=C(NCCCCN)CCCCCCC=CCC=CCC=CCCCCC",NA,NA,NA
"putrescine-C16:1","putrescine-C16:1","O=C(NCCCCN)CCCCCCCC=CCCCCCC",NA,NA,NA
"spermidine-C18:2","RH80 1238 S01 F14-16","O=C(NCCCCNCCCN)CCCCCCCC=CCC=CCCCCC",NA,NA,NA
"3-hydroxy hexanoic acid-C22:5","3-hydroxy hexanoic acid-C22:5","O=C(OC(CC(O)=O)CCC)CCCCCC=CCC=CCC=CCC=CCC=CCC",NA,NA,NA
"cholic acid-C18:2","cholic acid-C18:2","O=C(OC1CC(CC(O)C2C3CC(O)C4(C)C2CCC4C(CCC(O)=O)C)C3(C)CC1)CCCCCCCC=CCC=CCCCCC",NA,NA,NA
"lithocholic acid-C18:3","lithocholic acid-C18:3","O=C(OC1CC(CCC2C3CCC4(C)C2CCC4C(CCC(O)=O)C)C3(C)CC1)CCCCC=CCC=CCC=CCCCCC",NA,NA,NA
"lithocholic acid-C12:1","lithocholic acid-C12:1","O=C(OC1CC(CCC2C3CCC4(C)C2CCC4C(CCC(O)=O)C)C3(C)CC1)CCCCCCCCCC=C",NA,NA,NA
"lithocholic acid-C13:1","lithocholic acid-C13:1","O=C(OC1CC(CCC2C3CCC4(C)C2CCC4C(CCC(O)=O)C)C3(C)CC1)CCCCCCCCCCC=C",NA,NA,NA
"15-hydroxy pentadecanoic acid-C22:5","15-hydroxy pentadecanoic acid-C22:5","O=C(OCCCCCCCCCCCCCCC(O)=O)CCCCCC=CCC=CCC=CCC=CCC=CCC",NA,NA,NA
"15-hydroxy pentadecanoic acid-C22:4","15-hydroxy pentadecanoic acid-C22:4","O=C(OCCCCCCCCCCCCCCC(O)=O)CCCCCC=CCC=CCC=CCC=CCCCCC",NA,NA,NA
"15-hydroxy pentadecanoic acid-C22:3","15-hydroxy pentadecanoic acid-C22:3","O=C(OCCCCCCCCCCCCCCC(O)=O)CCCCCCCCCCCC=CCC=CCC=CCC",NA,NA,NA
"(((7b)-7-hydroxy-24-oxocholan-24-yl)amino)ethanesulfonic acid","(((7b)-7-hydroxy-24-oxocholan-24-yl)amino)ethanesulfonic acid","O=S(O)(CCNC(CC[C@@H](C)C1CC[C@@]2([H])[C@]3([H])[C@@H](O)CC4CCCC[C@]4(C)[C@@]3([H])CC[C@]12C)=O)=O",NA,NA,NA
"p(MeOx1-co-PheOx1-CH3) Na+","p(MeOx1-co-PheOx1-CH3) Na+","OCC[N+](CCNC(C1=CC=CC=C1)=O)([Na])C(C)=O",NA,NA,NA
"Acetyl-DL-carnitine",NA,"CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C",1,"C9H17NO4",203.115758
"(5S)-17-hydroxy-10,13-dimethyltetradecahydro-1H-cyclopenta(a)phenanthren-3(2H)-one","17-Hydroxyandrostan-3-one","CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C",15,"C19H30O2",290.2245802
"Alpha-Ketoglutaric Acid","Alpha-Ketoglutaric Acid","C(CC(=O)O)C(=O)C(=O)O",51,"C5H6O5",146.0215233
"Oxoglutaric acid","Alpha-Ketoglutaric Acid","C(CC(=O)O)C(=O)C(=O)O",51,"C5H6O5",146.0215233
"alpha-KETOBUTYRIC ACID",NA,"CCC(=O)C(=O)O",58,"C4H6O3",102.031694
"2-Isopropylmalic acid",NA,"CC(C)C(CC(=O)O)(C(=O)O)O",77,"C7H12O5",176.0684735
"1-propanaminium, 3-carboxy-2-hydroxy-n,n,n-trimethyl-, inner salt","1-propanaminium, 3-carboxy-2-hydroxy-n,n,n-trimethyl-, inner salt","C[N+](C)(C)CC(CC(=O)O)O",85,"C7H16NO3+",162.1130184
"(3-Carboxy-2-hydroxypropyl)-tris(trideuteriomethyl)azanium","1-propanaminium, 3-carboxy-2-hydroxy-n,n,n-trimethyl-, inner salt","C[N+](C)(C)CC(CC(=O)O)O",85,"C7H16NO3+",162.1130184
"3-Hydroxyanthranilic Acid","3-Hydroxyanthranilic Acid","C1=CC(=C(C(=C1)O)N)C(=O)O",86,"C7H7NO3",153.0425931
"3-HYDROXYANTHRANILATE","3-Hydroxyanthranilic Acid","C1=CC(=C(C(=C1)O)N)C(=O)O",86,"C7H7NO3",153.0425931
"3-Hydroxykynurenine","3-Hydroxykynurenine","C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N",89,"C10H12N2O4",224.0797069
"3-HYDROXYKYNURENINE","3-Hydroxykynurenine","C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N",89,"C10H12N2O4",224.0797069
"3-(3-Hydroxyphenyl)propanoic acid","3-(3-Hydroxyphenyl)propanoic acid","C1=CC(=CC(=C1)O)CCC(=O)O",91,"C9H10O3",166.0629942
"3-Hydroxybenzaldehyde","3-Hydroxybenzaldehyde","C1=CC(=CC(=C1)O)C=O",101,"C7H6O2",122.0367794
"3-hydroxybenzaldehyde","3-Hydroxybenzaldehyde","C1=CC(=CC(=C1)O)C=O",101,"C7H6O2",122.0367794
"3-Hydroxybenzyl alcohol","3-Hydroxybenzyl alcohol","C1=CC(=CC(=C1)O)CO",102,"C7H8O2",124.0524295
"3-hydroxybenzyl alcohol","3-Hydroxybenzyl alcohol","C1=CC(=CC(=C1)O)CO",102,"C7H8O2",124.0524295
"Hydrocinnamic acid",NA,"C1=CC=C(C=C1)CCC(=O)O",107,"C9H10O2",150.0680796
"3-Pyridineacetic acid","3-Pyridineacetic acid","C1=CC(=CN=C1)CC(=O)O",108,"C7H7NO2",137.0476785
"3-Pyridylacetic acid","3-Pyridineacetic acid","C1=CC(=CN=C1)CC(=O)O",108,"C7H7NO2",137.0476785
"N-carbamoyl-beta-alanine","N-carbamoyl-beta-alanine","C(CNC(=O)N)C(=O)O",111,"C4H8N2O3",132.0534921
"3-Ureidopropionic acid","N-carbamoyl-beta-alanine","C(CNC(=O)N)C(=O)O",111,"C4H8N2O3",132.0534921
"Gamma-Aminobutyric Acid","Gamma-Aminobutyric Acid","C(CC(=O)O)CN",119,"C4H9NO2",103.0633285
"gamma-Aminobutyrate","Gamma-Aminobutyric Acid","C(CC(=O)O)CN",119,"C4H9NO2",103.0633285
"4-aminobutyric acid","Gamma-Aminobutyric Acid","C(CC(=O)O)CN",119,"C4H9NO2",103.0633285
"Tiformin","Tiformin","C(CC(=O)N)CN=C(N)N",123,"C5H12N4O",144.101111
"4-guanidinobutanamide","Tiformin","C(CC(=O)N)CN=C(N)N",123,"C5H12N4O",144.101111
"4-Hydroxybenzaldehyde","4-Hydroxybenzaldehyde","C1=CC(=CC=C1C=O)O",126,"C7H6O2",122.0367794
"4-hydroxybenzaldehyde","4-Hydroxybenzaldehyde","C1=CC(=CC=C1C=O)O",126,"C7H6O2",122.0367794
"4-HYDROXYBENZALDEHYDE","4-Hydroxybenzaldehyde","C1=CC(=CC=C1C=O)O",126,"C7H6O2",122.0367794
"4-Hydroxybenzoic acid","4-Hydroxybenzoic acid","C1=CC(=CC=C1C(=O)O)O",135,"C7H6O3",138.031694
"Paraben","4-Hydroxybenzoic acid","C1=CC(=CC=C1C(=O)O)O",135,"C7H6O3",138.031694
"Aminolevulinic Acid","Aminolevulinic Acid","C(CC(=O)O)C(=O)CN",137,"C5H9NO3",131.0582431
"5-AMINOLEVULINATE","Aminolevulinic Acid","C(CC(=O)O)C(=O)CN",137,"C5H9NO3",131.0582431
"5-Aminovaleric acid","5-Aminovaleric acid","C(CCN)CC(=O)O",138,"C5H11NO2",117.0789786
