LookupName,SMILES,CID
cuminyl alcohol,NA,325
4-HYDROXYMANDELIC ACID,C1=CC(=CC=C1C(C(=O)O)O)O,328
4-Hydroxyphenylglycolic acid,C1=CC(=CC=C1C(C(=O)O)O)O,328
4-Vinyl Guaiacol,COC1=C(C=CC(=C1)C=C)O,332
SALICYLIC ACID,C1=CC=C(C(=C1)C(=O)O)O,338
Salicylic Acid,C1=CC=C(C(=C1)C(=O)O)O,338
Salicylic acid,C1=CC=C(C(=C1)C(=O)O)O,338
salicylic acid,NA,338
3-Methylcatechol,NA,340
Phloroglucinol,C1=C(C=C(C=C1O)O)O,359
Gallic Acid,C1=C(C=C(C(=C1O)O)O)C(=O)O,370
Acetylenedicarboxylic acid,NA,371
2-(1-Carboxyethylamino)pentanoic acid,CCCC(C(=O)O)NC(C)C(=O)O,384
PIMELIC ACID,C(CCC(=O)O)CCC(=O)O,385
Pimelic Acid,C(CCC(=O)O)CCC(=O)O,385
pimelic acid,C(CCC(=O)O)CCC(=O)O,385
pimelic acid,NA,385
"2,5-Diaminopentanoic acid",C(CC(C(=O)O)N)CN,389
DL-Ornithine,C(CC(C(=O)O)N)CN,389
Indole-3-acetamide,C1=CC=C2C(=C1)C(=CN2)CC(=O)N,397
Indoleacetamide,C1=CC=C2C(=C1)C(=CN2)CC(=O)N,397
4-Aminophenol,C1=CC(=CC=C1N)O,403
p-Aminophenol,C1=CC(=CC=C1N)O,403
4-AMINOPHENOL,NA,403
"9a,11a-dimethyl-1-(6-methylheptan-2-yl)-1H,2H,3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta(a)phenanthrene-4,7-diol",CC(C)CCCC(C)C1CCC2C1(CCC3C2C(C=C4C3(CCC(C4)O)C)O)C,405
"9a,11a-dimethyl-1-(6-methylheptan-2-yl)-1H,2H,3H,3aH,3bH,4H,6H,7H,8H,9H,9aH,9bH,10H,11H,11aH-cyclopenta[a]phenanthrene-4,7-diol",NA,405
3-(Pyrrolidin-2-yl)pyridine,C1CC(NC1)C2=CN=CC=C2,412
Nornicotine,C1CC(NC1)C2=CN=CC=C2,412
3-HYDROXYBUTANOIC ACID,NA,441
0546 Bupropion,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,444
Bupropion,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,444
1-(3-chlorophenyl)-2-((1-hydroxy-2-methylpropan-2-yl)amino)propan-1-one,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)CO,446
ST013886,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,450
ReSpect:PT105430 D-Sorbitol,C(C(C(C(C(CO)O)O)O)O)O,453
1-METHYLNICOTINAMIDE,C[N+]1=CC=CC(=C1)C(=O)N,457
1-Methylnicotinamide,C[N+]1=CC=CC(=C1)C(=O)N,457
1-methylnicotinamide,C[N+]1=CC=CC(=C1)C(=O)N,457
Guaiacol,COC1=CC=CC=C1O,460
Palmitoylcarnitine,CCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,461
Palmitoylcarnitine eV,CCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,461
Palmitoylcarnitine,NA,461
HIPPURATE20.0 eV,C1=CC=C(C=C1)C(=O)NCC(=O)O,464
Hippurate,C1=CC=C(C=C1)C(=O)NCC(=O)O,464
Hippuric Acid,C1=CC=C(C=C1)C(=O)NCC(=O)O,464
Hippuric acid,C1=CC=C(C=C1)C(=O)NCC(=O)O,464
ALPHA-AMINOADIPIC ACID,C(CC(C(=O)O)N)CC(=O)O,469
DL-2-ALPHA-AMINOADIPATE,C(CC(C(=O)O)N)CC(=O)O,469
alpha-Aminoadipic acid,C(CC(C(=O)O)N)CC(=O)O,469
D-(+)-Pyroglutamic Acid,C1CC(=O)NC1C(=O)O,499
"Pyroglutamic acid (not validated, isomer of 89)",C1CC(=O)NC1C(=O)O,499
PyroglutamicAcid,NA,499
4-GUANIDINOBUTANOATE,C(CC(=O)O)CN=C(N)N,500
4-Guanidinobutanoic acid,C(CC(=O)O)CN=C(N)N,500
4-Guanidinobutyric acid,C(CC(=O)O)CN=C(N)N,500
4-guanidinobutanoic acid,C(CC(=O)O)CN=C(N)N,500
g-Guanidinobutyrate,C(CC(=O)O)CN=C(N)N,500
4-carbamimidamidobutanoic acid,NA,500
malic acid,C(C(C(=O)O)O)C(=O)O,525
1- amino cyclopropane carboxylic acid,C1CC1(C(=O)O)N,535
1-Aminocyclopropane-1-carboxylic acid,C1CC1(C(=O)O)N,535
Acpc,C1CC1(C(=O)O)N,535
"3,4-Dihydroxyphenylacetic Acid",C1=CC(=C(C=C1CC(=O)O)O)O,547
"3,4-dihydroxyphenylacetic acid",C1=CC(=C(C=C1CC(=O)O)O)O,547
"1,1-Dimethylpyrrolidinium-2-carboxylate",C[N+]1(CCCC1C(=O)[O-])C,554
Stachydrine (L-proline betaine),C[N+]1(CCCC1C(=O)[O-])C,554
1-Methylpyrrolidine-2-carboxylic acid,CN1CCCC1C(=O)O,557
N-Methylproline,CN1CCCC1C(=O)O,557
6-Aminocaproic acid,C(CCC(=O)O)CCN,564
Aminocaproic Acid,C(CCC(=O)O)CCN,564
Aminocaproic acid,C(CCC(=O)O)CCN,564
Creatine,CN(CC(=O)O)C(=N)N,586
Creatin,NA,586
Phosphocreatine; LC-tDDA; CE10,NA,587
Creatinine,CN1CC(=O)N=C1N,588
creatinine,CN1CC(=O)N=C1N,588
Kreatinin,NA,588
Cytosine,C1=C(NC(=O)N=C1)N,597
(2R)-2-(((2R)-2-aminopropanoyl)amino)propanoic acid,CC(C(=O)NC(C)C(=O)O)N,601
DL-Alanyl-DL-alanine,CC(C(=O)NC(C)C(=O)O)N,601
ReSpect:PT200730 D(+)-Galacturonic acid monohydrate,C1(C(C(OC(C1O)O)C(=O)O)O)O,610
ReSpect:PT211470 D-Glucuronic acid,C1(C(C(OC(C1O)O)C(=O)O)O)O,610
DL-Glutamic acid,C(CC(=O)O)C(C(=O)O)N,611
Hpro,NA,614
"5,6-DIHYDROURACIL",C1CNC(=O)NC1=O,649
Dihydrouracil,C1CNC(=O)NC1=O,649
Diacetyl,CC(=O)C(=O)C,650
"3,4-Dihydrocoumarin",C1CC(=O)OC2=CC=CC=C21,660
Dimethylglycine,CN(C)CC(=O)O,673
"N,N-Dimethylglycine",CN(C)CC(=O)O,673
"5,6-Dimethylbenzimidazole",CC1=CC2=C(C=C1C)N=CN2,675
Dimethylbenzimidazole,CC1=CC2=C(C=C1C)N=CN2,675
"5,6-Dimethylbenzimidazole",NA,675
Dimethyl Sulfoxide,CS(=O)C,679
Dimethyl sulfoxide,CS(=O)C,679
Dopamine,C1=CC(=C(C=C1CCN)O)O,681
Dopamine; AIF; CE0; MS2Dec,C1=CC(=C(C=C1CCN)O)O,681
Dopamine; AIF; CE30; MS2Dec,C1=CC(=C(C=C1CCN)O)O,681
3-pyridine aldoxime,C1=CC(=CN=C1)C=NO,694
Ethanol,CCO,702
UnknownCompound,CCO,702
TransFerulicAcid,COC1=C(C=CC(=C1)C=CC(=O)O)O,709
4-(Trimethylammonio)butanoate,C[N+](C)(C)CCCC(=O)[O-],725
4-(trimethylazaniumyl)butanoate,C[N+](C)(C)CCCC(=O)[O-],725
Deoxycarnitine,C[N+](C)(C)CCCC(=O)[O-],725
Deoxycarnitine,NA,725
D-(+)-GLUCOSAMINE,C(C1C(C(C(C(O1)O)N)O)O)O,739
GLUTARIC ACID,C(CC(=O)O)CC(=O)O,743
Glutarate,C(CC(=O)O)CC(=O)O,743
Glutaric acid,C(CC(=O)O)CC(=O)O,743
[[(2S)-2-(gamma-Glutamylamino)-3-oxo-3-(carboxymethylamino)propyl]thio]radical,NA,745
Glycine,C(C(=O)O)N,750
Glyceraldehyde,C(C(C=O)O)O,751
DL-Glyceric acid,C(C(C(=O)O)O)O,752
Glyceric acid,C(C(C(=O)O)O)O,752
Glycerin,C(C(CO)O)O,753
Glycerol,C(C(CO)O)O,753
Glycolic acid,C(C(=O)O)O,757
Glycocyamine,C(C(=O)O)N=C(N)N,763
2-(3H-imid,C1=C(NC=N1)CCN,774
HISTAMINE,C1=C(NC=N1)CCN,774
Histamine,C1=C(NC=N1)CCN,774
Histidinol,C1=C(NC=N1)CC(CO)N,776
4-Amino-5-Hydroxymethyl-2-Methylpyrimidine,CC1=NC=C(C(=N1)N)CO,777
Homogentisate,C1=CC(=C(C=C1O)CC(=O)O)O,780
Homogentisic Acid,C1=CC(=C(C=C1O)CC(=O)O)O,780
Homogentisic acid,C1=CC(=C(C=C1O)CC(=O)O)O,780
Hydroquinone,C1=CC(=CC=C1O)O,785
Hydroquinone,NA,785
Indole,C1=CC=C2C(=C1)C=CN2,798
Indole,NA,798
Indol,NA,798
INDOLE-3-ACETALDEHYDE,C1=CC=C2C(=C1)C(=CN2)CC=O,800
Indole-3-acetaldehyde,C1=CC=C2C(=C1)C(=CN2)CC=O,800
Indoleacetaldehyde,C1=CC=C2C(=C1)C(=CN2)CC=O,800
indole-3-acetaldehyde,C1=CC=C2C(=C1)C(=CN2)CC=O,800
Heteroauxin,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,802
Indole-3-acetic acid,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,802
Indoleacetic acid,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,802
Indole-3-acetic acid,NA,802
indole-3-acetic acid,NA,802
Itaconic acid,C=C(CC(=O)O)C(=O)O,811
"2-(2,3-bis(16O)(oxidanyl)propoxy-(16O)oxidanyl(31P)(31P)(16O)(31P)(16O)(16O)(31P)(16O)(16O)(16O)phosphoryl)oxyethyl-tri((112C)methyl)(14N)azanium",C[N+](C)(C)CCOP(=O)(O)OCC(CO)O,823
sn-Glycero-3-phosphorylchloin,C[N+](C)(C)CCOP(=O)(O)OCC(CO)O,823
"2-[2,3-bis(16O)(oxidanyl)propoxy-(16O)oxidanyl(31P)(31P)(16O)(31P)(16O)(16O)(31P)(16O)(16O)(16O)phosphoryl]oxyethyl-tri((112C)methyl)(14N)azanium",NA,823
4-HYDROXYPROLINE,C1C(CNC1C(=O)O)O,825
4-Hydroxyproline,C1C(CNC1C(=O)O)O,825
Citrulina,NA,833
Cystathionine,C(CSCC(C(=O)O)N)C(C(=O)O)N,834
Kynurenine,C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)N,846
DL-Methionine sulfoxide,CS(=O)CCC(C(=O)O)N,847
"Methionine sulfoxide, DL-",CS(=O)CCC(C(=O)O)N,847
DL-Pipecolinic acid,C1CCNC(C1)C(=O)O,849
Pipecolate,C1CCNC(C1)C(=O)O,849
Pipecolic Acid,C1CCNC(C1)C(=O)O,849
Pipecolic acid,C1CCNC(C1)C(=O)O,849
Pipecolic acid (Chimeric precursor selection),C1CCNC(C1)C(=O)O,849
piperidine-2-carboxylic acid,C1CCNC(C1)C(=O)O,849
piperidine-2-carboxylic acid (Chimeric precursor selection),C1CCNC(C1)C(=O)O,849
PIPECOLIC ACID,NA,849
3-Methyl-DL-aspartic acid,CC(C(C(=O)O)N)C(=O)O,852
DL-Leucine,CC(C)CC(C(=O)O)N,857
DL-leucine,CC(C)CC(C(=O)O)N,857
Linolenic acidFA C18 3,CCC=CCC=CCC=CCCCCCCCC(=O)O,860
Linseed Acid,CCC=CCC=CCC=CCCCCCCCC(=O)O,860
OctadecatrienoicAcid Linolenic,CCC=CCC=CCC=CCCCCCCCC(=O)O,860
Lipoamide,C1CSSC1CCCCC(=O)N,863
"2,6-DIAMINOHEPTANEDIOIC ACID",C(CC(C(=O)O)N)CC(C(=O)O)N,865
DL-Lysine,C(CCN)CC(C(=O)O)N,866
2-Hydroxybenzenepropanoic acid,C1=CC=C(C(=C1)CCC(=O)O)O,873
3-(2-Hydroxyphenyl)propionic acid,C1=CC=C(C(=C1)CCC(=O)O)O,873
DL-METHIONINE,NA,876
scyllo-Inositol,C1(C(C(C(C(C1O)O)O)O)O)O,892
Melatonin,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,896
Chitin,CC(=O)NC1C(C(C(OC1O)CO)O)O,899
N-Acetylserotonin,CC(=O)NCCC1=CNC2=C1C=C(C=C2)O,903
Acetanilide,CC(=O)NC1=CC=CC=C1,904
Ac-Orn,CC(=O)NC(CCCN)C(=O)O,907
ReSpect:PT106580 N-alpha-Acetyl-L-ornithine,CC(=O)NC(CCCN)C(=O)O,907
N1-ACETYLSPERMINE,CC(=O)NCCCNCCCCNCCCN,916
N1-ACETYLSPERMINE60.0 eV,CC(=O)NCCCNCCCCNCCCN,916
N1-Acetylspermine,CC(=O)NCCCNCCCCNCCCN,916
Niacinamide,C1=CC(=CN=C1)C(=O)N,936
Nicotinamide,C1=CC(=CN=C1)C(=O)N,936
Niacinamide,NA,936
Nicotinate,C1=CC(=CN=C1)C(=O)[O-],937
NICOTINIC ACID,C1=CC(=CN=C1)C(=O)O,938
Niacin,C1=CC(=CN=C1)C(=O)O,938
Nicotinic acid,C1=CC(=CN=C1)C(=O)O,938
nicotinic acid,C1=CC(=CN=C1)C(=O)O,938
Niacin,NA,938
1-(|A-D-ribofuranosyl)-nicotinamide,C1=CC(=C[N+](=C1)C2C(C(C(O2)CO)O)O)C(=O)N,940
"2,4,5,6-tetradeuterio-1-((2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl)pyridin-1-ium-3-carboxamide",C1=CC(=C[N+](=C1)C2C(C(C(O2)CO)O)O)C(=O)N,940
"1,2-Benzenediol, 4-(2-amino-1-hydroxyethyl)-",C1=CC(=C(C=C1C(CN)O)O)O,951
DL-Norepinephrine,C1=CC(=C(C=C1C(CN)O)O)O,951
Octanol,CCCCCCCCO,957
Hydroxypyruvic acid,C(C(=O)C(=O)O)O,964
Analogue of oleic acid,CCCCCCCCC=CCCCCCCCC(=O)O,965
OctadecenoicAcid Oleic,CCCCCCCCC=CCCCCCCCC(=O)O,965
Orotic Acid,NA,967
(gamma-Glu-Cys-Gly) (gamma-Glu-Cys-Gly)(Disulfide bridge 2a-2b),NA,975
ReSpect:PT202350 Glutathione (oxidized form),NA,975
4-AMINOBENZOIC ACID,C1=CC(=CC=C1C(=O)O)N,978
4-Aminobenzoic Acid,C1=CC(=CC=C1C(=O)O)N,978
4-Aminobenzoic acid,C1=CC(=CC=C1C(=O)O)N,978
Paba,NA,978
4-Hydroxyphenylpyruvic Acid,C1=CC(=CC=C1CC(=O)C(=O)O)O,979
4-Hydroxyphenylpyruvic acid,C1=CC(=CC=C1CC(=O)C(=O)O)O,979
4-Nitrophenol,C1=CC(=CC=C1[N+](=O)[O-])O,980
Palmitic Acid,CCCCCCCCCCCCCCCC(=O)O,985
Palmitic acid,CCCCCCCCCCCCCCCC(=O)O,985
Palmitic Acid (known structural isomers: 0; isobaric peaks in run: 0),NA,985
(+-)-Pantothenic acid,CC(C)(CO)C(C(=O)NCCC(=O)O)O,988
"3-(((2R)-2,4-dihydroxy-3,3-dimethylbutanoyl)amino)prop",CC(C)(CO)C(C(=O)NCCC(=O)O)O,988
"3-(((2R)-2,4-dihydroxy-3,3-dimethylbutanoyl)amino)propanoic acid",CC(C)(CO)C(C(=O)NCCC(=O)O)O,988
D-PANTOTHENIC ACID20.0 eV,CC(C)(CO)C(C(=O)NCCC(=O)O)O,988
D-PANTOTHENIC ACID60.0 eV,CC(C)(CO)C(C(=O)NCCC(=O)O)O,988
ReSpect:PT106370 Sodium pantothenate,CC(C)(CO)C(C(=O)NCCC(=O)O)O,988
ReSpect:PT110060 D-Pantothenic acid hemicalcium salt,CC(C)(CO)C(C(=O)NCCC(=O)O)O,988
DL-PHENYLALANINE,C1=CC=C(C=C1)CC(C(=O)O)N,994
DL-Phenylalanine,C1=CC=C(C=C1)CC(C(=O)O)N,994
Dl-Phenylalanine,C1=CC=C(C=C1)CC(C(=O)O)N,994
Phenol,C1=CC=C(C=C1)O,996
Phenylacetaldehyde,C1=CC=C(C=C1)CC=O,998
PHENYLACETIC ACID,C1=CC=C(C=C1)CC(=O)O,999
Phenylacetic Acid,C1=CC=C(C=C1)CC(=O)O,999
PHENYLACETIC ACID,NA,999
2-Amino-1-phenylethanol,C1=CC=C(C=C1)C(CN)O,1000
Phenylethanolamine,C1=CC=C(C=C1)C(CN)O,1000
2-Amino-1-phenylethanol,NA,1000
Phenethylamine,C1=CC=C(C=C1)CCN,1001
Phenylethylamine,C1=CC=C(C=C1)CCN,1001
Ortophosphate,OP(=O)(O)O,1004
Phosphoric acid,NA,1004
"N,N,N-trimethyl-2-(phosphonooxy)ethanaminium",C[N+](C)(C)CCOP(=O)(O)O,1014
Phosphocholine,C[N+](C)(C)CCOP(=O)(O)O,1014
PHOSPHOCHOLINE CHLORIDE30,NA,1014
PHOSPHOCHOLINE CHLORIDE70,NA,1014
O-Phosphocolamine,C(COP(=O)(O)O)N,1015
Phosphorylethanolamine,C(COP(=O)(O)O)N,1015
O-Phosphocolamine,NA,1015
